# Current schema exact catalog; PostgreSQL 17.11, task-owned PER-330 database.
# source|postgres_catalog.sql|f6b876b0e379081adf25a89165eac7a57f1e596fc369abbbc34807d6268a6c22
# source|current_schema.sql|a100aba450eda3c76965a468e0f97626a71b6f87f94b9c13fc2ad1190539d96c
# source|current_archive.sql|b93ab30195b52e39f82a17b862deba516e097f0723c9d5d5d4c83f0d31c5448b
# source|current_views.sql|f380a36d7fb83122fba0937857596fe92714038f6a0c3fdf6b058e285b52cd9d
# configuration|current_schema_reader
# format|kind|schema|name|sha256
database|pg_database|current_database|db47b60d05393717417b24579078c99adf19ae592739a89f59b0d054cbbc81fc
extension|pg_extension|pg_stat_statements|086de786a36ba35c49cdc536a7ff50bd21f87bf53fa6142447ab866395580cea
extension|pg_extension|plpgsql|a234d375eb45eeada02bf299487b47bb0206334f5d9907730fd1156a8e53c52e
extension|pg_extension|postgis|034e3fa689fbd4a6d1ede34af486b73537db201240f31904f01691642f6e01da
extension|pg_extension|uuid-ossp|73833fbe0f1b319f9c36c783f05c171cc2a6e3a56f1de5b50ccba111b3f9c4fd
extension|pg_extension|vector|d03885fd9a8631ea9209820c234adb88f0d9e8fe40aa9a0a151331395a6be3e9
relation|babylon_meta|archive_atom_v1|7be0247d4d2b1ebbb95017e6836a4ac945fb91e97c22fe5b1f1db1091bca33f1
relation|babylon_meta|archive_knowledge_grant_v1|9f06a82f8c134861c6702f06f563f73aea81da49dc24623c605c30e1fdaf6da1
relation|babylon_meta|archive_page_revision_v2|3513c10182b395b1bf78e70768bbcd6a18ca748f1a40f46d66fc633da3999371
relation|babylon_meta|archive_receipt_consumption_v1|96bd8868ba020141c7aeb645a0c7eb57f628199c9f4500643d021cda6267379b
relation|babylon_meta|archive_revision_atom_v2|983cfa43e63b07397e105414b06ff7be96efaf7c72ecf9e16be5aa618ae69cfe
relation|babylon_meta|archive_revision_grant_v2|b2891be2745182e66bbc35e1a50397a1e340dbf4b119051ccc6efa9e8d4ac5eb
relation|babylon_meta|archive_tick_knowledge_member_v2|d152ba92648211dc97fa6af2c443137c98d7b0f2f9de935c005ba772e27c3c4f
relation|babylon_meta|archive_tick_knowledge_v2|5ec53da384308188a86a71235a187a10c49fab1abf408a5e66d8bb6714ff7581
relation|babylon_meta|breadcrumb|bf46640890fd57a372e8ec0d22cdec6bd3a71fc61d08196f1bc33ea4ed825feb
relation|babylon_meta|campaign|68a27951dd7cd6e2997d06a6b7e674f9e11a4aaf666580c86753317d2d1f4799
relation|babylon_meta|current_schema|a416337406f06bd913c832b2a0312ac2702d5a0fc0329cb97aa018675107b9eb
relation|babylon_meta|jumplist|9ff38acb48d24a36e7337e404f695d1c39fd2aa268307ee2d575a3c6d2ece908
relation|babylon_meta|territory_county_map_v1|328b17ea10e09a46693c15491c2cfaaf76d7aff600c3f5fc8b19a917c93f29ac
relation|babylon_meta|watchlist|c18d600695a5dedf49435e0cb3e32fa74a6736673dccdc8bedefeb416575b847
relation|babylon_ref|county_h3_land_area|c5345467c19b64a869b4ed6d2450c5c493b076e75a2092ca783057bc514900bb
relation|babylon_ref|county_identity|835c49ede1153b409052411d721bfe7a78b77ef7ab8fc3edac6f74201e5aedcb
relation|babylon_ref|county_place_h3_land_area|726646afe808e42761415628b149829cce0cb614262cfd504805a86766957188
relation|babylon_ref|h3_cell|ba174d0916a228715d45bc2d1464ba34772b66eb91ca1852ab5233288a8428eb
relation|babylon_ref|h3_land_fraction|9f1d9bd8d914e487af7a86629d10aabc35d9f4e9ffd52f585804e4fc456cae08
